"","Filename","ProjectIncrementName","BudgetedForCostGBPmil","ForecastCostGBPmil","VariationGBPmil","InYearVariationGBPmil","Platform","Source"
"1","A400M_2002_2002_1_CostOfDemonstrationManufacturePhaseLong.csv","A400M",2828,2356,-472,-226,"A400M",2002
"2","A400M_2003_2003_1_CostOfDemonstrationManufacturePhaseLong.csv","A400M",2828,2484,-344,128,"A400M",2003
"3","A400M_2004_2004_1_CostOfDemonstrationManufacturePhaseLong.csv","A400M",2744,2619,-125,258,"A400M",2004
"4","A400M_2005_2005_1_CostOfDemonstrationManufacturePhaseLong.csv","A400M",2744,2644,-100,25,"A400M",2005
"5","A400M_2006_2006_1_CostOfDemonstrationManufacturePhaseLong.csv","A400M",2744,2616,-128,-28,"A400M",2006
"6","A400M_2007_2007_1_CostOfDemonstrationManufacturePhaseLong.csv","A400M",2744,2629,-115,13,"A400M",2007
"7","A400M_2008_2008_1_CostOfDemonstrationManufacturePhaseLong.csv","A400M",2744,2632,-112,3,"A400M",2008
"8","A400M_2009_2009_3_CostOfDemonstrationManufacturePhaseWide.csv","A400M",2744,3285,541,653,"A400M",2009
"9","A400M_2010_2010_3_CostOfDemonstrationManufacturePhaseWide.csv","A400M",2744,3231,487,-54,"A400M",2010
"10","A400M_2011_2011_3_CostOfDemonstrationManufacturePhaseWide.csv","A400M",2498,3105,607,150,"A400M",2011
"11","A400M_2012_2012_3_CostOfDemonstrationManufacturePhaseWide.csv","A400M",2498,3268,770,163,"A400M",2012
"12","A400M_2013_2013_3_CostOfDemonstrationManufacturePhaseWide.csv","A400M",2238,2809,571,25,"A400M",2013
"13","A400M_2014_2014_3_CostOfDemonstrationManufacturePhaseWide.csv","A400M",2238,2752,514,-57,"A400M",2014
"14","A400M_2015_2015_3_CostOfDemonstrationManufacturePhaseWide.csv","A400M",2238,2710,472,-42,"A400M",2015
