"Description","RDTnE","Proc","MILCON","Total","Unit","Platform","Source","History"
"SAR Baseline (Dev Est)","34400","196600","2000","233000","Then Year $M","JSF","2009-12",NA
"Economic","1197.7","4103.3","8.9","5309.9","Then Year $M","JSF","2009-12","Previous Changes"
"Quantity","--","-25434.9","--","-25434.9","Then Year $M","JSF","2009-12","Previous Changes"
"Schedule","7866.9","21747.2","--","29614.1","Then Year $M","JSF","2009-12","Previous Changes"
"Engineering","3122.5","9414","252.8","12789.3","Then Year $M","JSF","2009-12","Previous Changes"
"Estimating","-2217.2","45486","-1740.5","41528.3","Then Year $M","JSF","2009-12","Previous Changes"
"Other","--","--","--","--","Then Year $M","JSF","2009-12","Previous Changes"
"Support","--","2036.1","--","2036.1","Then Year $M","JSF","2009-12","Previous Changes"
"Subtotal","9969.9","57351.7","-1478.8","65842.8","Then Year $M","JSF","2009-12","Previous Changes"
"Economic","-234.5","-11656.6","-13.8","-11904.9","Then Year $M","JSF","2009-12","Current Changes"
"Quantity","157","--","--","157","Then Year $M","JSF","2009-12","Current Changes"
"Schedule","--","2148.3","--","2148.3","Then Year $M","JSF","2009-12","Current Changes"
"Engineering","--","--","--","--","Then Year $M","JSF","2009-12","Current Changes"
"Estimating","5875.7","24106","43.8","30025.5","Then Year $M","JSF","2009-12","Current Changes"
"Other","--","--","--","--","Then Year $M","JSF","2009-12","Current Changes"
"Support","--","8984.2","--","8984.2","Then Year $M","JSF","2009-12","Current Changes"
"Subtotal","5798.2","23581.9","30","29410.1","Then Year $M","JSF","2009-12","Current Changes"
"Total Changes","15768.1","80933.6","-1448.8","95252.9","Then Year $M","JSF","2009-12","Current Changes"
"CE - Cost Variance","50168.1","277533.6","551.2","328252.9","Then Year $M","JSF","2009-12","Current Changes"
"CE - Cost & Funding","50168.1","277533.6","551.2","328252.9","Then Year $M","JSF","2009-12","Current Changes"
