"Description","RDTnE","Proc","MILCON","Total","Unit","Platform","Source","Section","History"
"SAR Baseline (Dev Est)","44410.1","282647.8","4797.3","331855.2","Then Year $M","JSF","2013-12","Aircraft",NA
"Economic","172.3","6729.8","114.3","7016.4","Then Year $M","JSF","2013-12","Aircraft","Previous Changes"
"Quantity","--","--","--","--","Then Year $M","JSF","2013-12","Aircraft","Previous Changes"
"Schedule","--","1486.6","--","1486.6","Then Year $M","JSF","2013-12","Aircraft","Previous Changes"
"Engineering","--","--","--","--","Then Year $M","JSF","2013-12","Aircraft","Previous Changes"
"Estimating","-1221.7","-10131.1","-311.4","-11664.2","Then Year $M","JSF","2013-12","Aircraft","Previous Changes"
"Other","--","--","--","--","Then Year $M","JSF","2013-12","Aircraft","Previous Changes"
"Support","--","-1781.2","--","-1781.2","Then Year $M","JSF","2013-12","Aircraft","Previous Changes"
"Subtotal","-1049.4","-3695.9","-197.1","-4942.4","Then Year $M","JSF","2013-12","Aircraft","Previous Changes"
"Economic","-82.3","-426","-14.4","-522.7","Then Year $M","JSF","2013-12","Aircraft","Current Changes"
"Quantity","--","--","--","--","Then Year $M","JSF","2013-12","Aircraft","Current Changes"
"Schedule","--","1039.1","--","1039.1","Then Year $M","JSF","2013-12","Aircraft","Current Changes"
"Engineering","--","--","--","--","Then Year $M","JSF","2013-12","Aircraft","Current Changes"
"Estimating","-505.8","3912.5","-164.8","3241.9","Then Year $M","JSF","2013-12","Aircraft","Current Changes"
"Other","--","--","--","--","Then Year $M","JSF","2013-12","Aircraft","Current Changes"
"Support","--","-707","--","-707","Then Year $M","JSF","2013-12","Aircraft","Current Changes"
"Subtotal","-588.1","3818.6","-179.2","3051.3","Then Year $M","JSF","2013-12","Aircraft","Current Changes"
"Adjustments ","--","--","--","--","Then Year $M","JSF","2013-12","Aircraft","Current Changes"
"Total Changes","-1637.5","122.7","-376.3","-1891.1","Then Year $M","JSF","2013-12","Aircraft","Current Changes"
"CE - Cost Variance","-1637.5","122.7","-376.3","-1891.1","Then Year $M","JSF","2013-12","Aircraft","Current Changes"
"CE - Cost & Funding ","42772.6","282770.5","4421","329964.1","Then Year $M","JSF","2013-12","Aircraft","Current Changes"
