"Description","RDTnE","Proc","MILCON","Total","NA","Unit","Platform","Source","Section","History"
"SAR Baseline (Dev Est)","47982.1","224332.9","4168","276483",NA,"Base Year 2012 $M","JSF","2013-12","Aircraft",NA
"Economic","--","--","--","--",NA,"Base Year 2012 $M","JSF","2013-12","Aircraft","Previous Changes"
"Quantity","--","--","--","--",NA,"Base Year 2012 $M","JSF","2013-12","Aircraft","Previous Changes"
"Schedule","--","--","--","--",NA,"Base Year 2012 $M","JSF","2013-12","Aircraft","Previous Changes"
"Engineering","--","--","--","--",NA,"Base Year 2012 $M","JSF","2013-12","Aircraft","Previous Changes"
"Estimating","-1524.6","-7016.7","-270.2","-8811.5",NA,"Base Year 2012 $M","JSF","2013-12","Aircraft","Previous Changes"
"Other","--","--","--","--",NA,"Base Year 2012 $M","JSF","2013-12","Aircraft","Previous Changes"
"Support","--","-1737.2","--","-1737.2",NA,"Base Year 2012 $M","JSF","2013-12","Aircraft","Previous Changes"
"Subtotal","-1524.6","-8753.9","-270.2","-10548.7",NA,"Base Year 2012 $M","JSF","2013-12","Aircraft","Previous Changes"
"Economic","--","--","--","--",NA,"Base Year 2012 $M","JSF","2013-12","Aircraft","Current Changes"
"Quantity","--","--","--","--",NA,"Base Year 2012 $M","JSF","2013-12","Aircraft","Current Changes"
"Schedule","--","--","--","--",NA,"Base Year 2012 $M","JSF","2013-12","Aircraft","Current Changes"
"Engineering","--","--","--","--",NA,"Base Year 2012 $M","JSF","2013-12","Aircraft","Current Changes"
"Estimating","-548.8","2590.1","-195.9","1845.4",NA,"Base Year 2012 $M","JSF","2013-12","Aircraft","Current Changes"
"Other","--","--","--","--",NA,"Base Year 2012 $M","JSF","2013-12","Aircraft","Current Changes"
"Support","--","-719.1","--","-719.1",NA,"Base Year 2012 $M","JSF","2013-12","Aircraft","Current Changes"
"Subtotal","-548.8","1871","-195.9","1126.3",NA,"Base Year 2012 $M","JSF","2013-12","Aircraft","Current Changes"
"Adjustments","--","--","--",NA,"--","Base Year 2012 $M","JSF","2013-12","Aircraft","Current Changes"
"Total Changes","-2073.4","-6882.9","-466.1","-9422.4",NA,"Base Year 2012 $M","JSF","2013-12","Aircraft","Current Changes"
"CE - Cost Variance","45908.7","217450","3701.9","267060.6",NA,"Base Year 2012 $M","JSF","2013-12","Aircraft","Current Changes"
"CE - Cost & Funding ","45908.7","217450","3701.9","267060.6",NA,"Base Year 2012 $M","JSF","2013-12","Aircraft","Current Changes"
