"Description","RDTnE","Proc","MILCON","Total","Unit","Platform","Source","Section","History"
"SAR Baseline (Dev Est)","11695.2","42332.9","--","54028.1","Base Year 2012 $M","JSF","2013-12","Engine",NA
"Economic","--","--","--","--","Base Year 2012 $M","JSF","2013-12","Engine","Previous Changes"
"Quantity","--","--","--","--","Base Year 2012 $M","JSF","2013-12","Engine","Previous Changes"
"Schedule","--","--","--","--","Base Year 2012 $M","JSF","2013-12","Engine","Previous Changes"
"Engineering","--","--","--","--","Base Year 2012 $M","JSF","2013-12","Engine","Previous Changes"
"Estimating","1245.4","-1446.4","--","-201","Base Year 2012 $M","JSF","2013-12","Engine","Previous Changes"
"Other","--","--","--","--","Base Year 2012 $M","JSF","2013-12","Engine","Previous Changes"
"Support","--","-335.4","--","-335.4","Base Year 2012 $M","JSF","2013-12","Engine","Previous Changes"
"Subtotal","1245.4","-1781.8","--","-536.4","Base Year 2012 $M","JSF","2013-12","Engine","Previous Changes"
"Economic","--","--","--","--","Base Year 2012 $M","JSF","2013-12","Engine","Current Changes"
"Quantity","--","--","--","--","Base Year 2012 $M","JSF","2013-12","Engine","Current Changes"
"Schedule","--","--","--","--","Base Year 2012 $M","JSF","2013-12","Engine","Current Changes"
"Engineering","--","--","--","--","Base Year 2012 $M","JSF","2013-12","Engine","Current Changes"
"Estimating","323.6","2517.8","--","2841.4","Base Year 2012 $M","JSF","2013-12","Engine","Current Changes"
"Other","--","--","--","--","Base Year 2012 $M","JSF","2013-12","Engine","Current Changes"
"Support","--","99.8","--","99.8","Base Year 2012 $M","JSF","2013-12","Engine","Current Changes"
"Subtotal","323.6","2617.6","--","2941.2","Base Year 2012 $M","JSF","2013-12","Engine","Current Changes"
"Total Changes","1569","835.8","--","2404.8","Base Year 2012 $M","JSF","2013-12","Engine","Current Changes"
"CE - Cost Variance","13264.2","43168.7","--","56432.9","Base Year 2012 $M","JSF","2013-12","Engine","Current Changes"
"CE - Cost & Funding ","13264.2","43168.7","--","56433.9","Base Year 2012 $M","JSF","2013-12","Engine","Current Changes"
