"Description","RDTnE","Proc","MILCON","Total","Unit","Platform","Source","Section","History"
"SAR Baseline (Dev Est)","10823.7","53032.9","-- ","63856.6","Then Year $M","JSF","2015-12","Engine",NA
"Economic","21.2","489.3","--","510.5","Then Year $M","JSF","2015-12","Engine","Previous Changes"
"Quantity","--","--","--","--","Then Year $M","JSF","2015-12","Engine","Previous Changes"
"Schedule","--","645.6","--","645.6","Then Year $M","JSF","2015-12","Engine","Previous Changes"
"Engineering","--","--","--","--","Then Year $M","JSF","2015-12","Engine","Previous Changes"
"Estimating","1136.7","1695.7","--","2832.4","Then Year $M","JSF","2015-12","Engine","Previous Changes"
"Other","--","--","--","--","Then Year $M","JSF","2015-12","Engine","Previous Changes"
"Support","--","-831.7","--","-831.7","Then Year $M","JSF","2015-12","Engine","Previous Changes"
"Subtotal","1157.9","1998.9","--","3156.8","Then Year $M","JSF","2015-12","Engine","Previous Changes"
"Economic","-4.7","-373.1","--","-377.8","Then Year $M","JSF","2015-12","Engine","Current Changes"
"Quantity","--","--","--","--","Then Year $M","JSF","2015-12","Engine","Current Changes"
"Schedule","--","98.5","--","98.5","Then Year $M","JSF","2015-12","Engine","Current Changes"
"Engineering","--","--","--","--","Then Year $M","JSF","2015-12","Engine","Current Changes"
"Estimating","-14","-4048.7","--","-4062.7","Then Year $M","JSF","2015-12","Engine","Current Changes"
"Other","--","--","--","--","Then Year $M","JSF","2015-12","Engine","Current Changes"
"Support","--","-2020.3","--","-2020.3","Then Year $M","JSF","2015-12","Engine","Current Changes"
"Subtotal","-18.7","-6343.6","--","-6362.3","Then Year $M","JSF","2015-12","Engine","Current Changes"
"Total Changes","1139.2","-4344.7","--","-3205.5","Then Year $M","JSF","2015-12","Engine","Current Changes"
"CE - Cost Variance","11962.9","48688.2","--","60651.1","Then Year $M","JSF","2015-12","Engine","Current Changes"
"CE - Cost & Funding ","11962.9","48688.2","--","60651.1","Then Year $M","JSF","2015-12","Engine","Current Changes"
