"Col1","Col2","Col3","Col4","Col5","Col6","Col7","Col8","Col9","Col10","Col11","Col12","Col13","Platform"
"2015_wctv G01700 - March 2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LW155 M777"
"Appropriations Budget Activity/Serial Number",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LW155 M777"
"Procurement of W&TCV, Army /2/ Weapons and Other Combat Vehicles",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LW155 M777"
NA,"Prior Years","FY 2013","FY 2014","FY 2015 Base","FY 2015 OCO","FY 2015 Total","FY 2016","FY 2017","FY 2018","FY 2019","To Complete","Total Prog","LW155 M777"
"Proc Qty","545","-","-","-","-","-","-","-","-","-","Continuing","Continuing","LW155 M777"
"Gross/Weapon System Cost","29.36","12.581","-","-","-","-","-","-","-","-","Continuing","Continuing","LW155 M777"
"Less PY Adv Proc","-","-","-","-","-","-","-","-","-","-","-","-","LW155 M777"
"Net Proc","29.36","12.581","-","-","-","-","-","-","-","-","Continuing","Continuing","LW155 M777"
"Plus CY Adv Proc","-","-","-","-","-","-","-","-","-","-","-","-","LW155 M777"
"Total Obligation Authority","29.36","12.581","-","-","-","-","-","-","-","-","Continuing","Continuing","LW155 M777"
