"Col1","Col2","Col3","Col4","Col5","Col6","Col7","Col8","Col9","Col10","Platform"
"WTCV Cost Elements","FY 05",NA,NA,"FY 06",NA,NA,"FY 07",NA,NA,"LW155 M777"
NA,"Total Cost","Qty","Unit Cost","Total Cost","Qty","Unit Cost","Total Cost","Qty","Unit Cost","LW155 M777"
NA,"$000","Units","$000","$000","Units","$000","$000","Units","$000","LW155 M777"
"WVA Cannon Long Lead","874","19","46","3910","85","46","5796","126","46","LW155 M777"
"BAE Lightweight 155mm Howitzer","26816","16","1676","32300","19","1700","144500","85","1700","LW155 M777"
"Watervliet Arsenal Cannon","3280","16","205","3895","19","205","17425","85","205","LW155 M777"
"Primer Feed Mechanism","288","16","18","342","19","18","1530","85","18","LW155 M777"
"Optical Fire Control","640","16","40","760","19","40","3400","85","40","LW155 M777"
"Basic Initial Issue","200",NA,NA,"228",NA,NA,"2150",NA,NA,"LW155 M777"
"Watervliet Arsenal Facilitization",NA,NA,NA,NA,NA,NA,NA,NA,NA,"LW155 M777"
"System Engineering / Program Management","4239",NA,NA,"4966",NA,NA,"8288",NA,NA,"LW155 M777"
"Test","200",NA,NA,"500",NA,NA,"2100",NA,NA,"LW155 M777"
"Fielding","500",NA,NA,"600",NA,NA,"2300",NA,NA,"LW155 M777"
"Total","37037",NA,NA,NA,NA,NA,NA,NA,NA,"LW155 M777"
