"Col1","Col2","Col3","Col4","Col5","Col6","Col7","Col8","Remove","SubsectionName","SubsectionValue","Platform","BudgetActivity"
"2004 - Army",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LW155 M777",NA
"Budget Activity 5 - Engineering and Manufacturing Development",NA,NA,NA,NA,NA,NA,NA,TRUE,"BudgetActivity","RDT&E Budget Activity  5 - Engineering and Manufacturing Development","LW155 M777","RDT&E Budget Activity  5 - Engineering and Manufacturing Development"
"Schedule Profile - Project D509","FY 2003","FY 2004","FY 2005","FY 2006","FY 2007","FY 2008","FY 2009",NA,NA,NA,"LW155 M777","RDT&E Budget Activity  5 - Engineering and Manufacturing Development"
"System Development and Demonstration","1-3Q",NA,NA,NA,NA,NA,NA,NA,NA,NA,"LW155 M777","RDT&E Budget Activity  5 - Engineering and Manufacturing Development"
"Design Verification and Test / Technical Testing","2-4Q","1-3Q",NA,NA,NA,NA,NA,NA,NA,NA,"LW155 M777","RDT&E Budget Activity  5 - Engineering and Manufacturing Development"
"Artic Operational Test and Evaluation (M777E1)",NA,"2Q",NA,NA,NA,NA,NA,NA,NA,NA,"LW155 M777","RDT&E Budget Activity  5 - Engineering and Manufacturing Development"
"Joint Operational Test and Evaluation (M777E1)",NA,"4Q",NA,NA,NA,NA,NA,NA,NA,NA,"LW155 M777","RDT&E Budget Activity  5 - Engineering and Manufacturing Development"
"Milestone C",NA,NA,"1Q",NA,NA,NA,NA,NA,NA,NA,"LW155 M777","RDT&E Budget Activity  5 - Engineering and Manufacturing Development"
"Full Rate Production Decision",NA,NA,"1Q",NA,NA,NA,NA,NA,NA,NA,"LW155 M777","RDT&E Budget Activity  5 - Engineering and Manufacturing Development"
"Initial Operational Capability",NA,NA,NA,"4Q",NA,NA,NA,NA,NA,NA,"LW155 M777","RDT&E Budget Activity  5 - Engineering and Manufacturing Development"
