"","Cost.and.Funding","X.","X..1","X..2","X..3","X..4","X..5","X..6","X..7","X..8"
"110","Annual Funding TY$, Missile Procurement, MISSILE, Army",NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","Fiscal Year","Quantity","End Item Recurring Flyaway TY $M","Non End Item Recurring Flyaway TY $M","Non Recurring Flyaway TY $M","Total Flyaway TY $M","Total Support TY $M","Total Program TY $M",NA,NA
"112","2012","--","--","--","75","75","--","75",NA,NA
"113","2013","--","--","--","12.9","12.9","--","12.9",NA,NA
"114","2014","56","470.7","--","--","470.7","67.9","538.6",NA,NA
"115","2015","72","454.6","--","--","454.6","50.5","505.1",NA,NA
"116","2016","80","539.1","--","--","539.1","57.3","596.4",NA,NA
"117","2017","82","512.3","--","--","512.3","54.4","566.7",NA,NA
"118","2018","90","465.1","--","--","465.1","35","500.1",NA,NA
"119","2019","90","456.7","--","--","456.7","34.4","491.1",NA,NA
"120","2020","90","456.2","--","--","456.2","34.3","490.5",NA,NA
"121","2021","90","453.6","--","--","453.6","35.7","489.3",NA,NA
"122","2022","90","452.5","--","--","452.5","35.7","488.2",NA,NA
"123","2023","90","451.1","--","--","451.1","35.6","486.7",NA,NA
"124","2024","90","449.7","--","--","449.7","35.5","485.2",NA,NA
"125","2025","90","448.2","--","--","448.2","35.4","483.6",NA,NA
"126","2026","90","446.7","--","--","446.7","35.3","482",NA,NA
"127","2027","90","446.8","--","--","446.8","33.6","480.4",NA,NA
"128","2028","90","445.6","--","--","445.6","33.5","479.1",NA,NA
"129","2029","90","444.3","--","--","444.3","33.4","477.7",NA,NA
"130","2030","90","443","--","--","443","33.3","476.3",NA,NA
"131","2031","68","333.8","--","--","333.8","25.1","358.9",NA,NA
"132","2032","--","--","--","--","--","11.6","11.6",NA,NA
"133","2033","--","--","--","--","--","11.5","11.5",NA,NA
"134","Subtotal","1528","8170","--","87.9","8257.9","729","8986.9",NA,NA
