"Appropriation","SARbaselineDevelopmentEstimate2004mil","CurrentAPBdevelopmentObjective2004mil","CurrentAPBdevelopmentThreshold2004mil","CurrentEstimate2004mil","SARbaselineDevelopmentEstimateThenYearMil","CurrentAPBdevelopmentObjectiveThenYearMil","CurrentEstimateThenYearMil","Platform","Source","Section"
"RDT&E ","4992.3","4992.3","--","3462.7","5737","5737","3965.3","MEADS","2011-12","TotalProgram"
"Procurement","17759.1","17759.1","-- ","6165.7","24158.4","24158.4","8986.9","MEADS","2011-12","TotalProgram"
"Flyaway","15071.8","--","--","5662.5","20409.3","--","8257.9","MEADS","2011-12","TotalProgram"
"Recurring","14809.2","--","--","5590.5","20095.8","--","8170","MEADS","2011-12","TotalProgram"
"Non Recurring","262.6","-- ","-- ","72","313.5","-- ","87.9","MEADS","2011-12","TotalProgram"
"Support","2687.3","--","--","503.2","3749.1","--","729","MEADS","2011-12","TotalProgram"
"Other Support","1550.4","--","--","503.2","2125.1","--","729","MEADS","2011-12","TotalProgram"
"Initial Spares   ","1136.9","-- ","-- ","0","1624","-- ","0","MEADS","2011-12","TotalProgram"
"MILCON","0","0","--","0","0","0","0","MEADS","2011-12","TotalProgram"
"Acq O&M ","0","0","--","0","0","0","0","MEADS","2011-12","TotalProgram"
"Total","22751.4","22751.4","N/A","9628.4","29895.4","29895.4","12952.2","MEADS","2011-12","TotalProgram"
