"Appropriation","SARbaselineDevelopmentEstimate2004mil","CurrentAPBdevelopmentObjective2004mil","CurrentAPBdevelopmentThreshold2004mil","CurrentEstimate2004mil","SARbaselineDevelopmentEstimateThenYearMil","CurrentAPBdevelopmentObjectiveThenYearMil","CurrentEstimateThenYearMil","Platform","Source","Section"
"RDT&E ","4531.4","4531.4","5211.1","2758.8","5255","5255","3177.1","MEADS","2011-12","FireUnit"
"Procurement","11999.1","11999.1","13199","0","16584.4","16584.4","0","MEADS","2011-12","FireUnit"
"Flyaway","9818.9","--","--","0","13494.5","--","0","MEADS","2011-12","FireUnit"
"Recurring","9556.3","--","--","0","13181","--","0","MEADS","2011-12","FireUnit"
"Non Recurring","262.6","-- ","-- ","0","313.5","-- ","0","MEADS","2011-12","FireUnit"
"Support","2180.2","--","--","0","3089.9","--","0","MEADS","2011-12","FireUnit"
"Other Support","1043.3","--","--","0","1465.9","--","0","MEADS","2011-12","FireUnit"
"Initial Spares   ","1136.9","-- ","-- ","0","1624","-- ","0","MEADS","2011-12","FireUnit"
"MILCON","0","0","--","0","0","0","0","MEADS","2011-12","FireUnit"
"Acq O&M ","0","0","--","0","0","0","0","MEADS","2011-12","FireUnit"
"Total","16530.5","16530.5","N/A","2758.8","21839.4","21839.4","3177.1","MEADS","2011-12","FireUnit"
