"Appropriation","SARbaselineDevelopmentEstimate2004mil","CurrentAPBdevelopmentObjective2004mil","CurrentAPBdevelopmentThreshold2004mil","CurrentEstimate2004mil","SARbaselineDevelopmentEstimateThenYearMil","CurrentAPBdevelopmentObjectiveThenYearMil","CurrentEstimateThenYearMil","Platform","Source","Section"
"RDT&E ","460.9","460.9","530","703.9","482","482","788.2","MEADS","2011-12","Missile"
"Procurement","5760","5760","6336","6165.7","7574","7574","8986.9","MEADS","2011-12","Missile"
"Flyaway","5252.9","--","--","5662.5","6914.8","--","8257.9","MEADS","2011-12","Missile"
"Recurring","5252.9","--","--","5590.5","6914.8","--","8170","MEADS","2011-12","Missile"
"Non Recurring","0","-- ","-- ","72","0","-- ","87.9","MEADS","2011-12","Missile"
"Support","507.1","--","--","503.2","659.2","--","729","MEADS","2011-12","Missile"
"Other Support","507.1","--","--","503.2","659.2","--","729","MEADS","2011-12","Missile"
"Initial Spares   ","0","-- ","-- ","0","0","-- ","0","MEADS","2011-12","Missile"
"MILCON","0","0","--","0","0","0","0","MEADS","2011-12","Missile"
"Acq O&M ","0","0","--","0","0","0","0","MEADS","2011-12","Missile"
"Total","6220.9","6220.9","N/A","6869.6","8056","8056","9775.1","MEADS","2011-12","Missile"
