"Appropriation","SARbaselineDevelopmentEstimateConstantMil","CurrentAPBdevelopmentObjectiveConstantMil","CurrentAPBdevelopmentThresholdConstantMil","CurrentEstimateConstantMil","SARbaselineDevelopmentEstimateThenYearMil","CurrentAPBdevelopmentObjectiveThenYearMil","CurrentEstimateThenYearMil","Platform","Source","Section","DeflatorYear"
"RDT&E","4531.4","4531.4","5211.1","2708.8","5255","5255","3112.4","MEADS","2013-12","FireUnit","2004 $M"
"Procurement","11999.1","11999.1","13199","0","16584.4","16584.4","0","MEADS","2013-12","FireUnit","2004 $M"
"Flyaway ","--","--","--","0","--","--","0","MEADS","2013-12","FireUnit","2004 $M"
"Recurring","--","--","--","0","--","--","0","MEADS","2013-12","FireUnit","2004 $M"
"Non Recurring","--","--","--","0","--","--","0","MEADS","2013-12","FireUnit","2004 $M"
"Support","--","--","--","0","--","--","0","MEADS","2013-12","FireUnit","2004 $M"
"Other Support","--","--","--","0","--","--","0","MEADS","2013-12","FireUnit","2004 $M"
"Initial Spares","--","--","--","0","--","--","0","MEADS","2013-12","FireUnit","2004 $M"
"MILCON","0","0","--","0","0","0","0","MEADS","2013-12","FireUnit","2004 $M"
"Acq O&M","0","0","--","0","0","0","0","MEADS","2013-12","FireUnit","2004 $M"
"Total","16530.5","16530.5","N/A","2708.8","21839.4","21839.4","3112.4","MEADS","2013-12","FireUnit","2004 $M"
