"Appropriation","SARbaselineDevelopmentEstimateConstantMil","CurrentAPBdevelopmentObjectiveConstantMil","CurrentAPBdevelopmentThresholdConstantMil","CurrentEstimateConstantMil","SARbaselineDevelopmentEstimateThenYearMil","CurrentAPBdevelopmentObjectiveThenYearMil","CurrentEstimateThenYearMil","Platform","Source","Section","DeflatorYear"
"RDT&E","460.9","460.9","530","701.9","482","482","785.3","MEADS","2013-12","Missile","2004 $M"
"Procurement","5760","5760","6336","5908.6","7574","7574","8718.6","MEADS","2013-12","Missile","2004 $M"
"Flyaway ","--","--","--","0","--","--","7972.8","MEADS","2013-12","Missile","2004 $M"
"Recurring","--","--","--","0","--","--","7889.6","MEADS","2013-12","Missile","2004 $M"
"Non Recurring","--","--","--","0","--","--","83.2","MEADS","2013-12","Missile","2004 $M"
"Support","--","--","--","0","--","--","745.8","MEADS","2013-12","Missile","2004 $M"
"Other Support","--","--","--","0","--","--","745.8","MEADS","2013-12","Missile","2004 $M"
"Initial Spares","--","--","--","0","--","--","0","MEADS","2013-12","Missile","2004 $M"
"MILCON","0","0","--","0","0","0","0","MEADS","2013-12","Missile","2004 $M"
"Acq O&M","0","0","--","0","0","0","0","MEADS","2013-12","Missile","2004 $M"
"Total","6220.9","6220.9","N/A","6610.5","8056","8056","9503.9","MEADS","2013-12","Missile","2004 $M"
