"Description","RDTnE","Proc","MILCON","Total","Subsection","Unit","Platform","Source","Section"
"SAR Baseline (Dev Est)","482","7574","--","8056",NA,"Then Year $M","MEADS","2013-12","Missile"
"Previous Changes",NA,NA,NA,NA,"Previous Changes","Then Year $M","MEADS","2013-12","Missile"
"Economic","18.5","325.9","--","344.4",NA,"Then Year $M","MEADS","2013-12","Missile"
"Quantity","--","--","--","--",NA,"Then Year $M","MEADS","2013-12","Missile"
"Schedule","--","634.8","--","634.8",NA,"Then Year $M","MEADS","2013-12","Missile"
"Engineering","--","--","--","--",NA,"Then Year $M","MEADS","2013-12","Missile"
"Estimating","284.8","335.2","--","620",NA,"Then Year $M","MEADS","2013-12","Missile"
"Other","--","--","--","--",NA,"Then Year $M","MEADS","2013-12","Missile"
"Support","--","11.7","--","11.7",NA,"Then Year $M","MEADS","2013-12","Missile"
"Subtotal","303.3","1307.6","--","1610.9",NA,"Then Year $M","MEADS","2013-12","Missile"
"Current Changes",NA,NA,NA,NA,"Current Changes","Then Year $M","MEADS","2013-12","Missile"
"Economic","-1.1","-54.2","--","-55.3",NA,"Then Year $M","MEADS","2013-12","Missile"
"Quantity","--","--","--","--",NA,"Then Year $M","MEADS","2013-12","Missile"
"Schedule","--","-162.6","--","-162.6",NA,"Then Year $M","MEADS","2013-12","Missile"
"Engineering","--","--","--","--",NA,"Then Year $M","MEADS","2013-12","Missile"
"Estimating","1.1","1.1","--","2.2",NA,"Then Year $M","MEADS","2013-12","Missile"
"Other","--","--","--","--",NA,"Then Year $M","MEADS","2013-12","Missile"
"Support","--","--","--","52.7",NA,"Then Year $M","MEADS","2013-12","Missile"
"Subtotal","--","-163","--","-163",NA,"Then Year $M","MEADS","2013-12","Missile"
"Total Changes","303.3","1144.6","--","1447",NA,"Then Year $M","MEADS","2013-12","Missile"
"CE - Cost Variance","785.3","8718.6","--","9503.9",NA,"Then Year $M","MEADS","2013-12","Missile"
"CE - Cost & Funding","785.3","8718.6","--","9503.9",NA,"Then Year $M","MEADS","2013-12","Missile"
