"CurrentChangeExplanations","BaseYearMil","ThenYearMil","Platform","Source","Account"
"Revised escalation indices. (Economic)","N/A","-12","RQ4","201X-XX","Procurement"
"Removal of Ground Station Technology Refresh development. (Engineering)","-21.1","-29","RQ4","201X-XX","Procurement"
"Removal of Communications Systems Technology Refresh modifications (Engineering)","-28.1","-40.2","RQ4","201X-XX","Procurement"
"Restored retrofits of Advanced Signals Intelligence Porgram sensors on Block 30 aircraft (engineering)","39.7","57.5","RQ4","201X-XX","Procurement"
"Addition of Weather Radar modifications (Engineering)","15.9","22.8","RQ4","201X-XX","Procurement"
"Adjustment for current and prior escalation (Estimating)","6.2","8.2","RQ4","201X-XX","Procurement"
"Net adjustments due to sequestration and congressional marks for FY 2012, FY 2013, & FY 2014","-120.2","-157.6","RQ4","201X-XX","Procurement"
"Adjustments to reconcile to prior years actual expenditures (Estimating)","-111.9","-131.6","RQ4","201X-XX","Procurement"
"Revised estimate of modification for change requests and diminishing manufacturing sources (Estimating)","42","59.7","RQ4","201X-XX","Procurement"
"Revised estimate and rephasing of program office management/other Government costs due to Blcok 30 continuation (Estimating)","16.5","23.1","RQ4","201X-XX","Procurement"
"Revised estimate and rephasing of production shutdown costs due to Blcok 30 continuation (Estimating)","49.5","69.4","RQ4","201X-XX","Procurement"
"Revised estimate for Mode 5/Automatic Dependent Surveillance -Broadcast Out modifications (Estimating)","3.7","6","RQ4","201X-XX","Procurement"
"Revised estimate for International Maritime Satellite/Communication Security modifications due to rephasing and continuation of Block 30 (Estimating)","29.9","41.3","RQ4","201X-XX","Procurement"
"Revised estiamte for low cost modifications (Estimating)","2.1","3","RQ4","201X-XX","Procurement"
"Adjustment to current and prior escalation (Support)","2.5","2.9","RQ4","201X-XX","Procurement"
"Increase in Other Support Adjustments to reconcile to prior years actual expenditures (Support)","9.5","9.8","RQ4","201X-XX","Procurement"
"Decrease in Initial Spares. Adjustments to reconcile to prior years actual expenditures. (Support)","-12.9","-8","RQ4","201X-XX","Procurement"
"Procurement Subtotal","-76.7","-74.7","RQ4","201X-XX","Procurement"
