"Col1","Col2","Col3","Col4","Col5","Platform"
"2011","Start",NA,"End",NA,"SM-3 BLOCK IIA"
NA,"Quarter","Year","Quarter","Year","SM-3 BLOCK IIA"
"SM-3 Blk IIA Preliminary Design Review (PDR)","2","2011","2","2011","SM-3 BLOCK IIA"
"BMD 4.0.1 Eng REL Preliminary Design Review (PDR)","2","2012","2","2012","SM-3 BLOCK IIA"
"SM-3 Blk IIA Critical Design Review (CDR)","2","2012","2","2012","SM-3 BLOCK IIA"
"BMD 4.0.1 Eng REL Critical Design Review (CDR)","2","2013","2","2013","SM-3 BLOCK IIA"
"BMD 4.0.1 Eng REL: Engineering Assessment (EA) #1","4","2014","4","2014","SM-3 BLOCK IIA"
"BMD 4.0.1 Eng REL: Engineering Assessment (EA) #2","1","2015","1","2015","SM-3 BLOCK IIA"
"Restrained Level Firing","1","2013","1","2013","SM-3 BLOCK IIA"
"Propulsion Test Vehicle -1 (PTV-I )","4","2013","4","2013","SM-3 BLOCK IIA"
"Control Test vehicle - 1 (SCD CTV-I)","2","2014","2","2014","SM-3 BLOCK IIA"
"Control Test Vehicle -2 (SCD CTV-2)","3","2014","3","2014","SM-3 BLOCK IIA"
"SCD Flight Test Mission 1 (SFTM-I)","1","2015","1","2015","SM-3 BLOCK IIA"
"SCD Flight Test Mission 2 (SFTM-2)","2","2015","2","2015","SM-3 BLOCK IIA"
