Vendor.Size,Vendor.Size.detail,Vendor.Size.sum,Shiny.VendorSize
Large,Large,Large,Large
Large (Big 6),Large (Big 6),Large (Big 6),Big Five
Large: Big 6,Large (Big 6),Large (Big 6),Big Five
Large: Big 6 JV,Large (Big 6),Large (Big 6),Big Five
Medium (<1B),Medium (<1B),Medium,Medium
Medium (>1B),Medium (>1B),Medium,Medium
Medium <1B,Medium (<1B),Medium,Medium
Medium >1B,Medium (>1B),Medium,Medium
Small,Small,Small,Small
Unlabeled,Unlabeled,Unlabeled,Big Five
Large (Small Subsidiary),Large,Large,Large
Large: Big 6 (Small Subsidiary),Large (Big 6),Large (Big 6),Big Five
Medium >1B (Small Subsidiary),Medium (>1B),Medium,Medium
Large: Big 6 JV (Small Subsidiary),Large (Big 6),Large (Big 6),Big Five
Large: Pre-Big 6,Large (Pre-Big 6),Large (Pre-Big 6),Big Five
