OMBagencyCode,OMBagencyName,OMBbureauCode,OMBbureauname,CSISbureau
0,NA,0,NA,Unlabeled
1,Legislative Branch,5,Senate,Other
1,Legislative Branch,10,House of Representatives,Other
1,Legislative Branch,11,Joint Items,Other
1,Legislative Branch,12,Office of Compliance,Other
1,Legislative Branch,13,Capitol Police,Other
1,Legislative Branch,14,Congressional Budget Office,Other
1,Legislative Branch,15,Architect of the Capitol,Other
1,Legislative Branch,18,Botanic Garden,Other
1,Legislative Branch,25,Library of Congress,Other
1,Legislative Branch,30,Government Printing Office,Other
1,Legislative Branch,35,Government Accountability Office,Other
1,Legislative Branch,40,United States Tax Court,Other
1,Legislative Branch,45,Legislative Branch Boards and Commissions,Other
1,Legislative Branch,NA,NA,Unlabeled
1,NA,NA,NA,Unlabeled
2,Judicial Branch,0,Judicial Branch,Other
2,Judicial Branch,5,Supreme Court of the United States,Other
2,Judicial Branch,7,United States Court of Appeals for the Federal Circuit,Other
2,Judicial Branch,15,United States Court of International Trade,Other
2,Judicial Branch,25,"Courts of Appeals, District Courts, and other Judicial Services",Other
2,Judicial Branch,26,Administrative Office of the United States Courts,Other
2,Judicial Branch,30,Federal Judicial Center,Other
2,Judicial Branch,35,Judicial Retirement Funds,Other
2,Judicial Branch,39,United States Sentencing Commission,Other
2,Judicial Branch,42,Violent Crime Reduction Programs,Other
2,Judicial Branch,NA,NA,Unlabeled
3,NA,3,NA,Unlabeled
4,NA,4,NA,Unlabeled
5,Department of Agriculture,0,Department of Agriculture,Other
5,Department of Agriculture,3,Office of the Secretary,Other
5,Department of Agriculture,4,Executive Operations,Other
5,Department of Agriculture,5,Departmental Management,Other
5,NA,5,NA,Unlabeled
5,Department of Agriculture,7,Office of Civil Rights,Other
5,Department of Agriculture,8,Office of Inspector General,Other
5,Department of Agriculture,10,Office of the General Counsel,Other
5,Department of Agriculture,12,NA,Unlabeled
5,Department of Agriculture,13,Economic Research Service,Other
5,Department of Agriculture,14,NA,Unlabeled
5,Department of Agriculture,15,National Agricultural Statistics Service,Other
5,Department of Agriculture,16,NA,Unlabeled
5,Department of Agriculture,18,Agricultural Research Service,Other
5,Department of Agriculture,19,NA,Unlabeled
5,Department of Agriculture,20,National Institute of Food and Agriculture,Other
5,Department of Agriculture,32,Animal and Plant Health Inspection Service,Other
5,Department of Agriculture,35,Food Safety and Inspection Service,Other
5,Department of Agriculture,37,"Grain Inspection, Packers and Stockyards Administration",Other
5,Department of Agriculture,45,Agricultural Marketing Service,Other
5,Department of Agriculture,47,Risk Management Agency,Other
5,Department of Agriculture,49,Farm Service Agency,Other
5,Department of Agriculture,53,Natural Resources Conservation Service,Other
5,Department of Agriculture,55,Rural Development,Other
5,Department of Agriculture,60,Rural Utilities Service,Other
5,Department of Agriculture,63,Rural Housing Service,Other
5,Department of Agriculture,65,Rural Business_Cooperative Service,Other
5,Department of Agriculture,68,Foreign Agricultural Service,Other
5,Department of Agriculture,84,Food and Nutrition Service,Other
5,Department of Agriculture,96,Forest Service,Other
5,Department of Agriculture,NA,NA,Unlabeled
6,Department of Commerce,0,Department of Commerce,Other
6,Department of Commerce,5,Departmental Management,Other
6,Department of Commerce,6,Economic Development Administration,Other
6,Department of Commerce,7,Bureau of the Census,Other
6,Department of Commerce,8,Economics and Statistics Administration,Other
6,Department of Commerce,25,International Trade Administration,Other
6,Department of Commerce,30,Bureau of Industry and Security,Other
6,Department of Commerce,40,Minority Business Development Agency,Other
6,Department of Commerce,48,National Oceanic and Atmospheric Administration,Other
6,Department of Commerce,51,U.S. Patent and Trademark Office,Other
6,Department of Commerce,53,Technology Administration,Other
6,Department of Commerce,54,National Technical Information Service,Other
6,Department of Commerce,55,National Institute of Standards and Technology,Other
6,Department of Commerce,60,National Telecommunications and Information Administration,Other
6,Department of Commerce,NA,NA,Unlabeled
7,Department of Defense--Military Programs,0,Department of Defense--Military Programs,Other
7,Department of Defense--Military Programs,5,Military Personnel,Military Personnel & Family Housing
7,NA,7,NA,Unlabeled
7,Department of Defense--Military Programs,10,Operation and Maintenance,Operations & Maintenance
7,Department of Defense--Military Programs,12,International Reconstruction and Other Assistance,Other
7,Department of Defense--Military Programs,15,Procurement,Procurement
7,Department of Defense--Military Programs,20,"Research, Development, Test, and Evaluation","Research, Development, Test, and Evaluation"
7,Department of Defense--Military Programs,25,Military Construction,Military Construction
7,Department of Defense--Military Programs,30,Family Housing,Military Personnel & Family Housing
7,Department of Defense--Military Programs,40,Revolving and Management Funds,Revolving and Management Funds
7,Department of Defense--Military Programs,45,Allowances,Other
7,Department of Defense--Military Programs,55,Trust Funds,Other
7,Department of Defense--Military Programs,NA,NA,Unlabeled
9,Department of Health and Human Services,0,Department of Health and Human Services,Other
9,Department of Health and Human Services,10,Food and Drug Administration,Other
9,Department of Health and Human Services,15,Health Resources and Services Administration,Other
9,Department of Health and Human Services,17,Indian Health Service,Other
9,Department of Health and Human Services,20,Centers for Disease Control and Prevention,Other
9,Department of Health and Human Services,25,National Institutes of Health,Other
9,Department of Health and Human Services,30,Substance Abuse and Mental Health Services Administration,Other
9,Department of Health and Human Services,33,Agency for Healthcare Research and Quality,Other
9,Department of Health and Human Services,38,Centers for Medicare and Medicaid Services,Other
9,Department of Health and Human Services,70,Administration for Children and Families,Other
9,Department of Health and Human Services,75,Administration for Community Living,Other
9,Department of Health and Human Services,90,Departmental Management,Other
9,Department of Health and Human Services,91,Program Support Center,Other
9,Department of Health and Human Services,92,Office of the Inspector General,Other
9,Department of Health and Human Services,NA,NA,Unlabeled
10,Department of the Interior,0,Department of the Interior,Other
10,Department of the Interior,4,Bureau of Land Management,Other
10,Department of the Interior,6,Bureau of Ocean Energy Management,Other
10,Department of the Interior,8,Office of Surface Mining Reclamation and Enforcement,Other
10,Department of the Interior,10,Bureau of Reclamation,Other
10,NA,10,NA,Unlabeled
10,Department of the Interior,11,Central Utah Project,Other
10,Department of the Interior,12,United States Geological Survey,Other
10,Department of the Interior,14,Bureau of Mines,Other
10,Department of the Interior,18,United States Fish and Wildlife Service,Other
10,Department of the Interior,22,Bureau of Safety and Environmental Enforcement,Other
10,Department of the Interior,24,National Park Service,Other
10,Department of the Interior,76,Bureau of Indian Affairs and Bureau of Indian Education,Other
10,Department of the Interior,82,Insular Affairs,Other
10,Department of the Interior,84,Departmental Offices,Other
10,Department of the Interior,85,Insular Affairs,Other
10,Department of the Interior,86,Office of the Solicitor,Other
10,Department of the Interior,88,Office of Inspector General,Other
10,Department of the Interior,90,Office of the Special Trustee for American Indians,Other
10,Department of the Interior,92,National Indian Gaming Commission,Other
10,Department of the Interior,95,Department-Wide Programs,Other
10,Department of the Interior,NA,NA,Unlabeled
11,Department of Justice,0,Department of Justice,Other
11,Department of Justice,3,General Administration,Other
11,Department of Justice,4,United States Parole Commission,Other
11,Department of Justice,5,Legal Activities and U.S. Marshals,Other
11,Department of Justice,6,Radiation Exposure Compensation,Other
11,Department of Justice,7,Interagency Law Enforcement,Other
11,Department of Justice,8,National Security Division,Other
11,Department of Justice,10,Federal Bureau of Investigation,Other
11,Department of Justice,12,Drug Enforcement Administration,Other
11,Department of Justice,14,"Bureau of Alcohol, Tobacco, Firearms, and Explosives",Other
11,Department of Justice,20,Federal Prison System,Other
11,Department of Justice,21,Office of Justice Programs,Other
11,Department of Justice,NA,NA,Unlabeled
12,Department of Labor,0,Department of Labor,Other
12,Department of Labor,5,Employment and Training Administration,Other
12,Department of Labor,11,Employee Benefits Security Administration,Other
12,Department of Labor,12,Pension Benefit Guaranty Corporation,Other
12,NA,12,NA,Unlabeled
12,Department of Labor,15,Office of Workers' Compensation Programs,Other
12,Department of Labor,16,Wage and Hour Division,Other
12,Department of Labor,17,Employment Standards Administration,Other
12,Department of Labor,18,Occupational Safety and Health Administration,Other
12,Department of Labor,19,Mine Safety and Health Administration,Other
12,Department of Labor,20,Bureau of Labor Statistics,Other
12,Department of Labor,22,Office of Federal Contract Compliance Programs,Other
12,Department of Labor,23,Office of Labor Management Standards,Other
12,Department of Labor,25,Departmental Management,Other
12,Department of Labor,NA,NA,Unlabeled
13,NA,13,NA,Unlabeled
14,Department of State,0,Department of State,Other
14,Department of State,5,Administration of Foreign Affairs,Other
14,Department of State,10,International Organizations and Conferences,Other
14,NA,14,NA,Unlabeled
14,Department of State,15,International Commissions,Other
14,Department of State,25,Other,Other
14,Department of State,NA,NA,Unlabeled
15,Department of the Treasury,0,Department of the Treasury,Other
15,Department of the Treasury,4,Financial Crimes Enforcement Network,Other
15,Department of the Treasury,5,Departmental Offices,Other
15,Department of the Treasury,9,Interagency Law Enforcement,Other
15,Department of the Treasury,11,Federal Financing Bank,Other
15,Department of the Treasury,12,Fiscal Service,Other
15,Department of the Treasury,13,Alcohol and Tobacco Tax and Trade Bureau,Other
15,NA,15,NA,Unlabeled
15,Department of the Treasury,20,Bureau of Engraving and Printing,Other
15,Department of the Treasury,25,United States Mint,Other
15,Department of the Treasury,45,Internal Revenue Service,Other
15,Department of the Treasury,57,Comptroller of the Currency,Other
15,Department of the Treasury,58,Office of Thrift Supervision,Other
15,Department of the Treasury,60,Interest on the Public Debt,Other
15,Department of the Treasury,NA,NA,Unlabeled
16,Social Security Administration,0,Social Security Administration,Other
17,Social Security Administration,0,Social Security Administration,Other
18,Department of Education,0,Department of Education,Other
18,Department of Education,10,Office of Elementary and Secondary Education,Other
18,Department of Education,12,Office of Innovation and Improvement,Other
18,Department of Education,15,Office of English Language Acquisition,Other
18,NA,18,NA,Unlabeled
18,Department of Education,20,Office of Special Education and Rehabilitative Services,Other
18,Department of Education,30,Office of Vocational and Adult Education,Other
18,Department of Education,40,Office of Postsecondary Education,Other
18,Department of Education,45,Office of Federal Student Aid,Other
18,Department of Education,50,Institute of Education Sciences,Other
18,Department of Education,80,Departmental Management,Other
18,Department of Education,85,Hurricane Education Recovery,Other
18,Department of Education,NA,NA,Unlabeled
19,Department of Energy,0,Department of Energy,Other
19,Department of Energy,5,National Nuclear Security Administration,Other
19,Department of Energy,10,Environmental and Other Defense Activities,Other
19,Department of Energy,20,Energy Programs,Other
19,Department of Energy,50,Power Marketing Administration,Other
19,Department of Energy,60,Departmental Administration,Other
19,Department of Energy,NA,NA,Unlabeled
20,Environmental Protection Agency,0,Environmental Protection Agency,Other
20,NA,20,NA,Unlabeled
21,Department of Transportation,0,Department of Transportation,Other
21,Department of Transportation,4,Office of the Secretary,Other
21,Department of Transportation,12,Federal Aviation Administration,Other
21,Department of Transportation,15,Federal Highway Administration,Other
21,Department of Transportation,17,Federal Motor Carrier Safety Administration,Other
21,Department of Transportation,18,National Highway Traffic Safety Administration,Other
21,Department of Transportation,27,Federal Railroad Administration,Other
21,Department of Transportation,36,Federal Transit Administration,Other
21,Department of Transportation,40,Saint Lawrence Seaway Development Corporation,Other
21,Department of Transportation,50,Pipeline and Hazardous Materials Safety Administration,Other
21,Department of Transportation,56,Office of Inspector General,Other
21,Department of Transportation,61,Surface Transportation Board,Other
